Sample,group,name,value
CURTIS_H001657_T01_01_WG01,IC4ER-,fraction_loh,0.081
CURTIS_H001657_T01_01_WG01,IC4ER-,SV_dama,39
CURTIS_H001660_T01_01_WG01,IC10,fraction_cna,1
CURTIS_H001660_T01_01_WG01,IC10,fraction_loh,0.26
CURTIS_H001660_T01_01_WG01,IC10,SV_dama,309
CURTIS_H001662_T01_01_WG01,IC10,fraction_cna,0.55
CURTIS_H001662_T01_01_WG01,IC10,fraction_loh,0.28
CURTIS_H001662_T01_01_WG01,IC10,SV_dama,78
CURTIS_H001683_T01_01_WG01,IC10,fraction_cna,0.91
CURTIS_H001683_T01_01_WG01,IC10,fraction_loh,0.21
CURTIS_H001683_T01_01_WG01,IC10,SV_dama,67
CURTIS_H001686_T01_01_WG01,IC10,fraction_cna,0.97
CURTIS_H001686_T01_01_WG01,IC10,fraction_loh,0.16
CURTIS_H001686_T01_01_WG01,IC10,SV_dama,227
CURTIS_H001694_T01_01_WG01,IC10,fraction_cna,0.94
CURTIS_H001694_T01_01_WG01,IC10,fraction_loh,0.096
CURTIS_H001694_T01_01_WG01,IC10,SV_dama,274
CURTIS_H001696_T01_01_WG01,IC10,fraction_cna,0.89
CURTIS_H001696_T01_01_WG01,IC10,fraction_loh,0.16
CURTIS_H001696_T01_01_WG01,IC10,SV_dama,238
CURTIS_H001697_T01_01_WG01,IC10,fraction_cna,0.54
CURTIS_H001697_T01_01_WG01,IC10,fraction_loh,0.09
CURTIS_H001697_T01_01_WG01,IC10,SV_dama,68
CURTIS_H001702_T01_01_WG01,IC4ER-,fraction_cna,0.91
CURTIS_H001702_T01_01_WG01,IC4ER-,fraction_loh,0.13
CURTIS_H001702_T01_01_WG01,IC4ER-,SV_dama,386
CURTIS_H001703_T01_01_WG01,IC4ER-,fraction_cna,0.96
CURTIS_H001703_T01_01_WG01,IC4ER-,fraction_loh,0.36
CURTIS_H001703_T01_01_WG01,IC4ER-,SV_dama,206
CURTIS_H001710_T01_01_WG01,IC10,fraction_cna,0.57
CURTIS_H001710_T01_01_WG01,IC10,fraction_loh,0.031
CURTIS_H001710_T01_01_WG01,IC10,SV_dama,100
CURTIS_H002029_T01_01_WG01,IC10,fraction_cna,0.88
CURTIS_H002029_T01_01_WG01,IC10,fraction_loh,0.27
CURTIS_H002029_T01_01_WG01,IC10,SV_dama,216
CURTIS_H002030_T01_01_WG01,IC10,fraction_cna,0.65
CURTIS_H002030_T01_01_WG01,IC10,fraction_loh,0.084
CURTIS_H002030_T01_01_WG01,IC10,SV_dama,154
CURTIS_H002032_T01_01_WG01,IC10,fraction_cna,0.62
CURTIS_H002032_T01_01_WG01,IC10,fraction_loh,0.39
CURTIS_H002032_T01_01_WG01,IC10,SV_dama,269
CURTIS_H002033_T01_01_WG01,IC10,fraction_cna,0.92
CURTIS_H002033_T01_01_WG01,IC10,fraction_loh,0.055
CURTIS_H002033_T01_01_WG01,IC10,SV_dama,425
CURTIS_H002035_T01_01_WG01,IC10,fraction_cna,0.29
CURTIS_H002035_T01_01_WG01,IC10,fraction_loh,0.091
CURTIS_H002035_T01_01_WG01,IC10,SV_dama,58
CURTIS_H002037_T01_01_WG01,IC10,fraction_cna,0.91
CURTIS_H002037_T01_01_WG01,IC10,fraction_loh,0.034
CURTIS_H002037_T01_01_WG01,IC10,SV_dama,785
CURTIS_H002038_T01_01_WG01,IC10,fraction_cna,0.56
CURTIS_H002038_T01_01_WG01,IC10,fraction_loh,0.22
CURTIS_H002038_T01_01_WG01,IC10,SV_dama,249
CURTIS_H002039_T01_01_WG01,IC10,fraction_cna,0.87
CURTIS_H002039_T01_01_WG01,IC10,fraction_loh,0.066
CURTIS_H002039_T01_01_WG01,IC10,SV_dama,233
CURTIS_H002040_T01_01_WG01,IC10,fraction_cna,0.5
CURTIS_H002040_T01_01_WG01,IC10,fraction_loh,0.31
CURTIS_H002040_T01_01_WG01,IC10,SV_dama,95
CURTIS_H002041_T01_01_WG01,IC10,fraction_cna,0.89
CURTIS_H002041_T01_01_WG01,IC10,fraction_loh,0.1
CURTIS_H002041_T01_01_WG01,IC10,SV_dama,46
CURTIS_H002043_T01_01_WG01,IC10,fraction_cna,0.9
CURTIS_H002043_T01_01_WG01,IC10,fraction_loh,0.16
CURTIS_H002043_T01_01_WG01,IC10,SV_dama,179
CURTIS_H002044_T01_01_WG01,IC10,fraction_cna,0.76
CURTIS_H002044_T01_01_WG01,IC10,fraction_loh,0.15
CURTIS_H002044_T01_01_WG01,IC10,SV_dama,24
CURTIS_H002045_T01_01_WG01,IC10,fraction_cna,0.84
CURTIS_H002045_T01_01_WG01,IC10,fraction_loh,0.13
CURTIS_H002045_T01_01_WG01,IC10,SV_dama,275
CURTIS_H002046_T01_01_WG01,IC10,fraction_cna,0.81
CURTIS_H002046_T01_01_WG01,IC10,fraction_loh,0.3
CURTIS_H002046_T01_01_WG01,IC10,SV_dama,387
CURTIS_H002048_T01_01_WG01,IC10,fraction_cna,0.98
CURTIS_H002048_T01_01_WG01,IC10,fraction_loh,0.18
CURTIS_H002048_T01_01_WG01,IC10,SV_dama,98
CURTIS_H002050_T01_01_WG01,IC10,fraction_cna,0.79
CURTIS_H002050_T01_01_WG01,IC10,fraction_loh,0.16
CURTIS_H002050_T01_01_WG01,IC10,SV_dama,372
CURTIS_H002051_T01_01_WG01,IC10,fraction_cna,0.57
CURTIS_H002051_T01_01_WG01,IC10,fraction_loh,0.17
CURTIS_H002051_T01_01_WG01,IC10,SV_dama,212
CURTIS_H002052_T01_01_WG01,IC10,fraction_cna,0.79
CURTIS_H002052_T01_01_WG01,IC10,fraction_loh,0.2
