Sample,group,name,value
CURTIS_H001618_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001619_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001619_T01_01_WG01,IC10,ubi,TRUE
CURTIS_H001619_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001621_T01_01_WG01,IC4ER-,ddr,FALSE
CURTIS_H001621_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001621_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H001622_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001622_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001622_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001623_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001623_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001623_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001624_T01_01_WG01,IC4ER-,ddr,FALSE
CURTIS_H001624_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001624_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H001628_T01_01_WG01,IC4ER-,ddr,FALSE
CURTIS_H001628_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001628_T01_01_WG01,IC4ER-,cell_cycle,TRUE
CURTIS_H001629_T01_01_WG01,IC4ER-,ddr,TRUE
CURTIS_H001629_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001629_T01_01_WG01,IC4ER-,cell_cycle,TRUE
CURTIS_H001632_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001632_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001632_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001634_T01_01_WG01,IC4ER-,ddr,TRUE
CURTIS_H001634_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001634_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H001635_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001635_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001635_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H001638_T01_01_WG01,IC4ER-,ddr,FALSE
CURTIS_H001638_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001638_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H001641_T01_01_WG01,IC4ER-,ddr,FALSE
CURTIS_H001641_T01_01_WG01,IC4ER-,ubi,TRUE
CURTIS_H001641_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H001643_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001643_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001643_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001644_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001644_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001644_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001647_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001647_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001647_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001648_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001648_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001648_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001649_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001649_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001649_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001657_T01_01_WG01,IC4ER-,ddr,FALSE
CURTIS_H001657_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001657_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H001660_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001660_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001660_T01_01_WG01,IC10,cell_cycle,TRUE
