sample	ampliconID	Freq	width	FreqNorm	tf	type	group
CURTIS_H000547_T01_01_WG01	amplicon1	85	8712496	9.75610204010424	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000548_T01_01_WG01	amplicon1	54	5452490	9.90373205636324	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000559_T01_01_WG01	amplicon1	74	5412870	13.6711208656406	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000565_T01_01_WG01	amplicon1	0	126283	0	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001394_T01_01_WG01	amplicon1	13	4661763	2.7886445535734	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001400_T01_01_WG01	amplicon1	36	2656000	13.5542168674699	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001403_T01_01_WG01	amplicon1	65	3798801	17.1106620220433	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001416_T01_01_WG01	amplicon1	75	6419677	11.6828307717039	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001432_T01_01_WG01	amplicon1	66	6846913	9.63938055003766	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001436_T01_01_WG01	amplicon1	45	2307983	19.4975439593793	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001463_T01_01_WG01	amplicon1	24	5609424	4.27851415760335	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001483_T01_01_WG01	amplicon1	25	1110048	22.5215486177174	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001486_T01_01_WG01	amplicon1	5	6299925	0.793660241987008	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001520_T01_01_WG01	amplicon1	43	4938864	8.70645557358939	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001545_T01_01_WG01	amplicon1	24	2818178	8.51614057025497	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001546_T01_01_WG01	amplicon1	34	3636043	9.35082450895108	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001559_T01_01_WG01	amplicon1	48	4668818	10.2809747563516	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001566_T01_01_WG01	amplicon1	103	7562603	13.6196492133727	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001568_T01_01_WG01	amplicon1	72	15332085	4.69603449237335	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001581_T01_01_WG01	amplicon1	84	11048719	7.60269131652276	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001629_T01_01_WG01	amplicon1	57	8390344	6.79352360284632	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001630_T01_01_WG01	amplicon1	9	789839	11.3947272798634	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001676_T01_01_WG01	amplicon1	71	6657641	10.6644380494533	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001682_T01_01_WG01	amplicon1	253	24714595	10.2368661108952	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001715_T01_01_WG01	amplicon1	162	26336772	6.15109551011035	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001743_T01_01_WG01	amplicon1	211	13265773	15.905594042654	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H002084_T01_01_WG01	amplicon1	29	2632323	11.0168850859108	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H004289_T01_01_WG01	amplicon1	7	860924	8.1307990020025	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H004304_T01_01_WG01	amplicon1	46	6232561	7.38059362756337	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H004369_T01_01_WG01	amplicon1	16	1360190	11.7630625133253	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H004536_T01_01_WG01	amplicon1	242	18867250	12.826458545893	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H004650_T01_01_WG01	amplicon1	7	1731371	4.04303872480248	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000416_T01_01_WG01	amplicon2	13	3143072	4.13608087883447	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000429_T01_01_WG01	amplicon2	63	6303068	9.99513252911122	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000485_T01_01_WG01	amplicon2	36	5811597	6.19451073431279	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000523_T01_01_WG01	amplicon2	9	751027	11.9835904701163	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000553_T01_01_WG01	amplicon2	93	6712493	13.854763051522	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000559_T01_01_WG01	amplicon2	26	2683193	9.68994776000086	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001400_T01_01_WG01	amplicon2	100	7062964	14.1583618435546	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001401_T01_01_WG01	amplicon2	22	2560686	8.59144776048293	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001416_T01_01_WG01	amplicon2	71	7222670	9.83015976086406	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001486_T01_01_WG01	amplicon2	99	7858226	12.5982632721431	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001591_T01_01_WG01	amplicon2	150	9276596	16.1697243256039	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001636_T01_01_WG01	amplicon2	113	13199298	8.5610613534144	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001684_T01_01_WG01	amplicon2	5	816521	6.12354121939301	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H001693_T01_01_WG01	amplicon2	278	18024542	15.4234154743016	ESR1	noncyclic	ESR1_noncyclic
